Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot82,"RainbowPC",normal,14,Archived,"Railway Area","Railway Area: Objective #1","1","22:03:30","22:05:19",
Bot82,"RainbowPC",normal,14,Archived,"Railway Area","Railway Area: Objective #2","1","22:05:24","22:05:36",
Bot82,"RainbowPC",normal,14,Archived,"Railway Area","Railway Area: Objective #3","1","22:05:41","22:05:55",
Bot82,"RainbowPC",normal,14,Archived,"Railway Area","Railway Area: Objective #4","1","22:06:01","22:07:09",
Bot82,"RainbowPC",normal,14,Completed,"IDEA Escalator Top Room","IDEA Escalator Top Room: Objective #1","1","22:07:14","22:14:13",
Bot82,"RainbowPC",normal,14,Pending,"Techlight","Techlight: Objective #1","1","22:14:18","N/A",
Bot84,"craink",normal,19,Failed,"Database - Part 2","Item OLI cargo route documents","1","22:03:30","22:06:46",
Bot84,"craink",normal,19,Failed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","22:06:52","22:10:31",
Bot83,"vo1ter",hard,19,Active,"Big Sale","Zone place_SALE_03_KOSTIN","1","22:03:30","N/A",
Bot85,"TakiiNotFound",hard,20,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","22:03:30","22:24:13",
Bot85,"TakiiNotFound",hard,20,Active,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","22:24:43","N/A",
Bot86,"igorir3",easy,6,Active,"Goshan Loading Corridor Stairs Bottom","Goshan Loading Corridor Stairs Bottom: Objective #1","1","22:03:30","N/A",
Bot87,"Rasdow",normal,14,Pending,"Railway Area","Railway Area: Objective #1","1","22:03:31","N/A",
Bot88,"Fatheals",easy,10,Pending,"IDEA Office","IDEA Office: Objective #3","1","22:03:31","N/A",
Bot95,"TEOA",hard,15,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #5","1","22:10:39","22:12:23",
Bot95,"TEOA",hard,15,Active,"OLI Showroom Center","OLI Showroom Center: Objective #4","1","22:12:28","N/A",
Bot96,"aleves",hard,10,Pending,"Hide in Plain Sight","Zone new_year_2024_market_interchange","1","22:10:39","N/A",
[Not Spawned],"Аркаша Питерский",easy,1,,,,,,,
[Not Spawned],"Савва Япончик",normal,1,,,,,,,
[Not Spawned],"Стасик Паштет",normal,1,,,,,,,
[Not Spawned],"Гриша Динамит",normal,1,,,,,,,
[Not Spawned],"Фриз Мальчик",normal,1,,,,,,,
[Not Spawned],"Марат Мудрый",normal,1,,,,,,,
[Not Spawned],"Витек Сопля",normal,1,,,,,,,
[Not Spawned],"Михаил Мамин-сын",normal,1,,,,,,,
[Not Spawned],"Филипп Глушитель",normal,1,,,,,,,
[Not Spawned],"Артур Свинина",normal,1,,,,,,,
[Not Spawned],"Вовчик Таксист",hard,1,,,,,,,
[Not Spawned],"Гоги Любитель",normal,1,,,,,,,
[Not Spawned],"Пафнутий Шуруп",normal,1,,,,,,,
[Not Spawned],"Володя Цинк",normal,1,,,,,,,
[Not Spawned],"Алик Яебу",hard,1,,,,,,,
[Not Spawned],"Гиви Прокурор",easy,1,,,,,,,
[Not Spawned],"Мишган Айронмэн",normal,1,,,,,,,
[Not Spawned],"Тима Гук",normal,1,,,,,,,
[Not Spawned],"Петя Рубинштейн",easy,1,,,,,,,
[Not Spawned],"Парфений Толич",easy,1,,,,,,,
[Not Spawned],"Святополк Запасной",normal,1,,,,,,,
