Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Big Sale,"Zone place_SALE_03_AVOKADO",1,15,35,"(-33.16, 27.16, 26.96)"
Big Sale,"Zone place_SALE_03_KOSTIN",1,15,35,"(-25.87, 27.12, -103.52)"
Big Sale,"Zone place_SALE_03_TREND",1,15,35,"(64.17, 27.11, -155.40)"
Big Sale,"Zone place_SALE_03_DINO",1,15,35,"(94.39, 27.11, -120.64)"
Big Sale,"Zone place_SALE_03_TOPBRAND",1,15,35,"(94.23, 27.28, 7.66)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_1",1,15,35,"(-206.70, 21.36, -75.27)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_2",1,15,35,"(275.46, 21.36, 13.46)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_3",1,15,35,"(-170.99, 21.36, -360.22)"
Database - Part 1,"Item Goshan cargo manifests",1,15,35,"(-76.48, 27.97, -157.50)"
Database - Part 1,"Item OLI cargo manifests",1,15,35,"(38.13, 27.11, 147.75)"
Database - Part 1,"Item IDEA cargo manifests",1,15,35,"(-1.40, 27.11, -292.90)"
Database - Part 2,"Item OLI cargo route documents",1,15,35,"(86.70, 27.11, 120.30)"
The Key to Success,"Item Clothes design handbook - Part 1",1,26,54,"(20.27, 36.64, -4.43)"
The Key to Success,"Item Clothes design handbook - Part 2",1,26,54,"(-30.90, 27.11, -136.19)"
Hot Delivery,"Zone place_merch_020_1",2,29,59,"(-50.10, 27.66, 25.40)"
Hot Delivery,"Zone place_merch_020_2",2,29,59,"(179.20, 21.36, -40.90)"
Minibus,"Zone place_merch_21_1",1,24,51,"(108.60, 21.36, 289.60)"
Minibus,"Zone place_merch_21_2",1,24,51,"(15.20, 22.61, -24.50)"
Minibus,"Zone place_merch_21_3",1,24,51,"(-51.34, 22.67, 60.67)"
Vitamins - Part 1,"Item Chemical container #2",1,22,48,"(19.80, 27.11, -106.49)"
Vitamins - Part 1,"Item Chemical container #3",1,22,48,"(24.10, 27.11, -80.81)"
Informed Means Armed,"Zone place_skier_11_3",2,24,51,"(8.88, 27.11, -37.48)"
Chumming,"Zone place_skier_12_1",2,24,51,"(-26.60, 27.11, 1.70)"
Long Line,"Zone place_merch_022_1",1,45,85,"(-19.36, 21.38, -239.90)"
Long Line,"Zone place_merch_022_2",1,45,85,"(-12.78, 21.41, 123.00)"
Long Line,"Zone place_merch_022_3",1,45,85,"(-31.60, 27.11, -54.56)"
Long Line,"Zone place_merch_022_4",1,45,85,"(106.57, 24.26, -52.14)"
Long Line,"Zone place_merch_022_5",1,45,85,"(109.30, 35.11, -55.75)"
Long Line,"Zone place_merch_022_6",1,45,85,"(-196.80, 31.36, -46.67)"
