Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Reserve,"Zone huntsman_029",1,20,45,"(78.77, -12.19, -114.99)"
The Bunker - Part 1,"Zone prapor_024_area_2",1,10,25,"(-115.03, -14.51, 31.20)"
The Bunker - Part 1,"Zone prapor_024_area_1",1,10,25,"(-117.85, -14.51, 30.70)"
The Bunker - Part 2,"Zone prapor_025_area_1",1,15,35,"(-90.31, -14.33, -5.15)"
The Bunker - Part 2,"Zone prapor_025_area_2",1,15,35,"(-157.05, -10.27, 10.64)"
The Bunker - Part 2,"Zone prapor_025_area_3",1,15,35,"(-150.22, -10.46, 51.11)"
The Bunker - Part 2,"Zone prapor_025_area_4",1,15,35,"(-108.14, -10.46, 76.60)"
The Bunker - Part 2,"Zone prapor_025_area_5",1,15,35,"(-71.77, -10.72, 29.99)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_2",1,14,33,"(-102.59, -4.40, -153.41)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_2",1,14,33,"(-101.46, -3.53, -157.16)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_11",1,14,33,"(79.01, -4.98, -32.65)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_11",1,14,33,"(75.95, -5.36, -31.88)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_12",1,14,33,"(103.38, -5.14, 62.78)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_12",1,14,33,"(100.55, -5.31, 64.44)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_13",1,14,33,"(53.83, -4.21, 119.02)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_13",1,14,33,"(54.53, -3.74, 123.66)"
Revision - Reserve,"Zone tadeush_stryker_area_check_3",1,14,33,"(40.67, -0.82, -196.49)"
Revision - Reserve,"Zone tadeush_stryker_area_mark_3",1,14,33,"(42.09, 0.76, -192.16)"
Revision - Reserve,"Zone tadeush_stryker_area_check_4",1,14,33,"(-107.22, -6.41, -63.50)"
Revision - Reserve,"Zone tadeush_t90_area_check_1",1,14,33,"(-159.25, -4.27, -116.15)"
Classified Technologies,"Item T-90M Commander Control Panel",1,14,33,"(-88.79, -19.46, 151.84)"
Documents,"Item Military documents #1",1,19,43,"(-114.50, -14.51, 26.90)"
Documents,"Item Military documents #2",1,19,43,"(-114.18, -14.51, 40.50)"
Documents,"Item Military documents #3",1,19,43,"(-121.50, -14.51, 39.10)"
No Place for Renegades,"Zone prapor_hq_area_check_1",1,17,39,"(-83.92, -14.42, 19.23)"
Disease History,"Item Medical record #1",1,15,35,"(-59.60, -3.76, -36.00)"
Disease History,"Item Medical record #2",1,15,35,"(-79.90, -3.76, -30.90)"
Surplus Goods,"Item MBT Integrated Navigation System",1,14,33,"(99.60, -6.61, 59.50)"
Back Door,"Zone mechanik_exit_area_1",1,14,33,"(-118.80, -18.26, 172.70)"
Safe Corridor,"Zone lijnik_storage_area_1",1,15,35,"(75.68, -14.20, -61.47)"
Inventory Check,"Zone baraholshik_arsenal_area_1",1,15,35,"(-166.25, 2.47, 31.36)"
Inventory Check,"Zone baraholshik_dejurniy_area_2",1,15,35,"(-165.00, -0.46, 35.30)"
Inventory Check,"Zone baraholshik_arsenal_area_3",1,15,35,"(-168.51, -3.33, 31.36)"
Inventory Check,"Zone baraholshik_arsenal_area_4",1,15,35,"(-125.54, 2.49, 96.81)"
Inventory Check,"Zone baraholshik_arsenal_area_5",1,15,35,"(-125.52, -3.05, 94.55)"
A Fuel Matter,"Zone baraholshik_fuel_area_2",1,15,35,"(14.80, -5.11, 75.10)"
A Fuel Matter,"Zone baraholshik_fuel_area_3",1,15,35,"(173.66, -4.31, -96.98)"
Pest Control,"Zone eger_barracks_area_1",1,20,45,"(-100.62, -0.18, 90.13)"
Pest Control,"Zone eger_barracks_area_2",1,20,45,"(-161.72, -0.44, 51.88)"
Snatch,"Zone tadeush_bmp2_area_mark_12",2,33,66,"(100.55, -5.31, 64.44)"
