Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot123,"Zersus",normal,19,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","20:27:05","20:33:15",
Bot124,"RootsNine",impossible,16,Active,"Classified Technologies","Item T-90M Commander Control Panel","1","20:27:06","N/A",
Bot126,"Gatsu66",normal,17,Failed,"Disease History","Item Medical record #2","1","20:27:06","20:29:26",
Bot127,"pitAlex",easy,19,Active,"No Place for Renegades","Zone prapor_hq_area_check_1","1","20:27:06","N/A",
Bot128,"Floppa",normal,18,Active,"Safe Corridor","Zone lijnik_storage_area_1","1","20:27:06","N/A",
Bot129,"oidnacbdnjidbha",normal,9,Active,"BMP #1 Tower","BMP #1 Tower: Objective #1","1","20:27:06","N/A",
Bot130,"John Halo",normal,14,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","20:27:07","20:30:11",
Bot135,"Slayer-of-Reshala",easy,19,Active,"Special Comms","Zone Place_item_tools_rezerve","1","20:30:18","N/A",
Bot136,"malachitekell",easy,15,Pending,"Revision - Reserve","Zone tadeush_stryker_area_check_3","1","20:30:18","N/A",
Bot139,"Савелий Затвор",normal,1,Active,"White Rook Barracks","White Rook Barracks: Objective #3","1","20:35:06","N/A",
[Not Spawned],"Радж Серый",impossible,1,,,,,,,
[Not Spawned],"Пантелеймон Ржавый",easy,1,,,,,,,
[Not Spawned],"Пётр Бараш",normal,1,,,,,,,
[Not Spawned],"Дед Пышный",normal,1,,,,,,,
[Not Spawned],"Башир Грузин",normal,1,,,,,,,
[Not Spawned],"Радик Спортсмен",normal,1,,,,,,,
[Not Spawned],"Гоша Кастет",normal,1,,,,,,,
[Not Spawned],"Гоша Сырой",normal,1,,,,,,,
[Not Spawned],"Юрец Дрищ",normal,1,,,,,,,
[Not Spawned],"Тарас Лещ",normal,1,,,,,,,
[Not Spawned],"Тихон Дудис",normal,1,,,,,,,
[Not Spawned],"Толя Шапка",hard,1,,,,,,,
[Not Spawned],"Филя Охрана",normal,1,,,,,,,
[Not Spawned],"Вадик Мозголюб",normal,1,,,,,,,
[Not Spawned],"Мартын Погон",impossible,1,,,,,,,
