Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
First in Line,"Zone Sandbox_1_MedicalArea_exploration",1,0,99,"(157.34, 25.36, -83.59)"
Shooting Cans,"Zone Sandbox_2_Kord_exploration",1,0,99,"(57.58, 31.06, 129.52)"
Shooting Cans,"Zone Sandbox_2_AGS_exploration",1,0,99,"(100.29, 32.87, 275.70)"
Luxurious Life,"Zone Sandbox_3_Vino_exploration",1,1,9,"(117.35, 22.78, 27.35)"
Luxurious Life,"Item Bottle of Le Jean wine",1,1,9,"(114.49, 22.89, 27.64)"
Saving the Mole,"Zone Sandbox_5_DeadGroup_exploration",1,0,99,"(-22.12, 23.93, -25.10)"
Saving the Mole,"Zone Sandbox_5_Laborant_exploration",1,0,99,"(-60.62, 25.52, 26.36)"
Saving the Mole,"Zone Sandbox_5_Office_exploration",1,0,99,"(-13.48, 29.69, 51.33)"
Saving the Mole,"Item TerraGroup scientist's hard drive",1,0,99,"(-11.64, 29.69, 47.67)"
New Day New Paths,"Zone Prospect_mira",1,17,39,"(205.41, 16.20, 36.81)"
New Day New Paths,"Zone Transits_to_streets",1,17,39,"(226.26, 16.06, 67.66)"
Rough Tarkov,"Zone Sandbox_mine_quest",1,2,11,"(59.93, 23.44, 172.69)"
Is This a Reference?,"Zone zone_nakatoimi",2,25,53,"(3.99, 22.78, 336.33)"
Is This a Reference?,"Zone zone_computer",2,25,53,"(118.75, 23.17, 191.24)"
Is This a Reference?,"Zone zone_six_chair",2,25,53,"(41.60, 30.90, 140.52)"
Spawn Point Wander,"Spawn Point (182.99 16.22 127.56)",1,0,99,"(182.99, 16.22, 127.56)"
Spawn Point Wander,"Spawn Point (72.81 14.18 5.45)",1,0,99,"(72.81, 14.18, 5.45)"
Spawn Point Wander,"Spawn Point (65.03 14.72 161.74)",1,0,99,"(65.03, 14.72, 161.74)"
Spawn Point Wander,"Spawn Point (-10.59 23.98 22.87)",1,0,99,"(-10.59, 23.98, 22.87)"
Spawn Point Wander,"Spawn Point (127.16 23.21 187.91)",1,0,99,"(127.16, 23.21, 187.91)"
Spawn Point Wander,"Spawn Point (67.59 14.18 104.54)",1,0,99,"(67.59, 14.18, 104.54)"
Spawn Point Wander,"Spawn Point (137.37 22.74 -70.18)",1,0,99,"(137.37, 22.74, -70.18)"
Spawn Point Wander,"Spawn Point (121.83 22.80 -1.13)",1,0,99,"(121.83, 22.80, -1.13)"
Spawn Point Wander,"Spawn Point (111.24 23.19 174.48)",1,0,99,"(111.24, 23.19, 174.48)"
Spawn Point Wander,"Spawn Point (71.76 14.14 0.68)",1,0,99,"(71.76, 14.14, 0.68)"
Spawn Point Wander,"Spawn Point (180.90 16.27 114.89)",1,0,99,"(180.90, 16.27, 114.89)"
Spawn Point Wander,"Spawn Point (184.96 17.21 -8.59)",1,0,99,"(184.96, 17.21, -8.59)"
Spawn Point Wander,"Spawn Point (117.11 28.96 150.69)",1,0,99,"(117.11, 28.96, 150.69)"
Spawn Point Wander,"Spawn Point (38.43 23.44 149.07)",1,0,99,"(38.43, 23.44, 149.07)"
Spawn Point Wander,"Spawn Point (143.10 23.30 248.83)",1,0,99,"(143.10, 23.30, 248.83)"
Spawn Point Wander,"Spawn Point (-10.79 23.98 16.74)",1,0,99,"(-10.79, 23.98, 16.74)"
Spawn Point Wander,"Spawn Point (109.12 22.71 234.21)",1,0,99,"(109.12, 22.71, 234.21)"
Spawn Point Wander,"Spawn Point (110.66 23.19 171.34)",1,0,99,"(110.66, 23.19, 171.34)"
Spawn Point Wander,"Spawn Point (-8.02 23.86 -4.96)",1,0,99,"(-8.02, 23.86, -4.96)"
Spawn Point Wander,"Spawn Point (172.25 16.99 9.43)",1,0,99,"(172.25, 16.99, 9.43)"
Spawn Point Wander,"Spawn Point (1.43 23.89 -60.42)",1,0,99,"(1.43, 23.89, -60.42)"
Spawn Point Wander,"Spawn Point (57.72 23.44 226.74)",1,0,99,"(57.72, 23.44, 226.74)"
Spawn Point Wander,"Spawn Point (112.67 23.19 175.80)",1,0,99,"(112.67, 23.19, 175.80)"
Spawn Point Wander,"Spawn Point (13.43 23.49 157.56)",1,0,99,"(13.43, 23.49, 157.56)"
Spawn Point Wander,"Spawn Point (73.70 14.13 117.03)",1,0,99,"(73.70, 14.13, 117.03)"
Spawn Point Wander,"Spawn Point (67.76 13.98 163.13)",1,0,99,"(67.76, 13.98, 163.13)"
Spawn Point Wander,"Spawn Point (-0.66 23.89 -60.43)",1,0,99,"(-0.66, 23.89, -60.43)"
Spawn Point Wander,"Spawn Point (73.07 14.18 2.28)",1,0,99,"(73.07, 14.18, 2.28)"
Spawn Point Wander,"Spawn Point (73.09 14.15 -56.52)",1,0,99,"(73.09, 14.15, -56.52)"
Spawn Point Wander,"Spawn Point (64.94 14.14 103.31)",1,0,99,"(64.94, 14.14, 103.31)"
Spawn Point Wander,"Spawn Point (139.26 14.09 65.61)",1,0,99,"(139.26, 14.09, 65.61)"
Spawn Point Wander,"Spawn Point (74.69 13.96 160.92)",1,0,99,"(74.69, 13.96, 160.92)"
Spawn Point Wander,"Spawn Point (36.95 23.47 146.98)",1,0,99,"(36.95, 23.47, 146.98)"
Spawn Point Wander,"Spawn Point (32.78 22.67 335.66)",1,0,99,"(32.78, 22.67, 335.66)"
Spawn Point Wander,"Spawn Point (73.88 14.14 37.23)",1,0,99,"(73.88, 14.14, 37.23)"
Spawn Point Wander,"Spawn Point (127.45 23.20 196.11)",1,0,99,"(127.45, 23.20, 196.11)"
Spawn Point Wander,"Spawn Point (-6.32 23.86 -2.04)",1,0,99,"(-6.32, 23.86, -2.04)"
Spawn Point Wander,"Spawn Point (137.57 14.11 61.82)",1,0,99,"(137.57, 14.11, 61.82)"
Spawn Point Wander,"Spawn Point (163.62 22.77 -88.24)",1,0,99,"(163.62, 22.77, -88.24)"
