Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"ngage",easy,12,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:42:12","18:43:26",
Bot15,"ngage",easy,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:44:26","18:55:20",
Bot16,"DevilFlippy",normal,13,Failed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","18:42:12","18:44:46",
Bot17,"Carl",normal,11,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","18:42:13","18:49:44",
Bot17,"Carl",normal,11,Completed,"Olive Restaurant","Olive Restaurant: Objective #2","2","18:49:49","18:50:14",
Bot17,"Carl",normal,11,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","18:50:19","18:57:23",
Bot18,"scrob",normal,16,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","18:42:14","18:42:20",
Bot19,"Boop",normal,11,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","18:42:16","18:42:28",
Bot20,"loafedbread",impossible,16,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","18:42:34","18:48:45",
Bot21,"红衣抚琴染绛天涯",impossible,14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:42:41","18:43:43",
Bot22,"R3",impossible,17,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","18:42:55","18:44:24",
Bot23,"Костыль Жмурик",normal,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","18:49:16","18:53:26",
Bot23,"Костыль Жмурик",normal,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","18:53:31","18:53:57",
Bot23,"Костыль Жмурик",normal,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","18:54:02","N/A",
Bot31,"Тима Левый",normal,1,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","18:50:57","N/A",
Bot32,"Саша Сега",normal,1,Failed,"Underground North","Underground North: Objective #1","1","18:52:37","18:53:28",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #2","1","18:53:33","18:54:31",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #4","2","18:54:36","18:55:05",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #5","1","18:55:10","18:55:35",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #6","1","18:55:40","18:56:17",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #8","1","18:56:22","18:56:51",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #7","2","18:56:56","18:57:58",
Bot32,"Саша Сега",normal,1,Completed,"Underground North","Underground North: Objective #3","1","18:58:03","18:58:22",
Bot32,"Саша Сега",normal,1,Active,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","1","18:58:27","N/A",
Bot35,"Тарас Клоун",easy,1,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","18:52:48","18:53:19",
Bot35,"Тарас Клоун",easy,1,Active,"TerraGroup Lawn","TerraGroup Lawn: Objective #3","1","18:53:24","N/A",
Bot37,"Тихон Щекотун",easy,1,Failed,"Underground North","Underground North: Objective #1","1","18:55:29","18:57:06",
Bot37,"Тихон Щекотун",easy,1,Failed,"Underground North","Underground North: Objective #2","1","18:57:11","18:57:13",
Bot37,"Тихон Щекотун",easy,1,Failed,"Underground North","Underground North: Objective #3","1","18:57:19","18:57:28",
Bot37,"Тихон Щекотун",easy,1,Failed,"Underground North","Underground North: Objective #4","1","18:57:33","18:57:57",
Bot37,"Тихон Щекотун",easy,1,Completed,"Underground North","Underground North: Objective #5","1","18:58:02","19:00:21",
Bot37,"Тихон Щекотун",easy,1,Completed,"Underground North","Underground North: Objective #6","1","19:00:26","19:00:39",
Bot37,"Тихон Щекотун",easy,1,Completed,"Underground North","Underground North: Objective #7","2","19:00:44","19:01:33",
Bot37,"Тихон Щекотун",easy,1,Completed,"Underground North","Underground North: Objective #8","1","19:01:38","19:02:11",
Bot37,"Тихон Щекотун",easy,1,Active,"Underground South","Underground South: Objective #1","1","19:02:16","N/A",
Bot38,"Пахомий Бстр",easy,1,Pending,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","18:55:32","N/A",
Bot41,"Сева Костоправ",easy,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","18:57:47","18:58:25",
Bot41,"Сева Костоправ",easy,1,Active,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","18:58:31","N/A",
[Not Spawned],"Антоха Бритва",easy,1,,,,,,,
[Not Spawned],"Генка Жидкий",normal,1,,,,,,,
[Not Spawned],"Гит Бэдушь",normal,1,,,,,,,
[Not Spawned],"Артур Сладкий",normal,1,,,,,,,
[Not Spawned],"Эдуард Прикол",normal,1,,,,,,,
[Not Spawned],"Дрон Передряга",normal,1,,,,,,,
[Not Spawned],"Витян Банзай",easy,1,,,,,,,
[Not Spawned],"Иван Айронмэн",easy,1,,,,,,,
