Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot185,"kikirio",impossible,4,Active,"Storage","Storage: Objective #6","1","20:46:22","N/A",
Bot189,"ANIME",impossible,7,Failed,"Storage","Storage: Objective #6","1","20:46:24","20:46:36",
Bot188,"jiblet",normal,17,Failed,"BP Depot","Zone fuel3","1","20:46:25","20:47:11",
Bot190,"Life",hard,16,Active,"Thirsty - Delivery","Zone place_2A2_unlock_3_customs","1","20:46:25","N/A",
Bot186,"mirrox1337",impossible,8,Active,"Rite of Passage","Zone Killnewoil","1","20:46:25","N/A",
Bot191,"GGaulin",impossible,10,Failed,"BP Depot","Zone fuel4","1","20:46:25","20:46:31",
Bot192,"harmony",hard,10,Pending,"Hide in Plain Sight","Zone new_year_2024_market_customs","1","20:46:25","N/A",
Bot195,"Platinum",normal,15,Active,"The Extortionist","Zone dead_posylni","1","20:46:46","N/A",
Bot196,"snowythefox811",normal,7,Failed,"The Extortionist","Zone dead_posylni","1","20:46:47","20:48:40",
[Not Spawned],"Михаил Флоу",normal,1,,,,,,,
[Not Spawned],"Филипп Сметана",hard,1,,,,,,,
[Not Spawned],"Веня Баклажан",normal,1,,,,,,,
[Not Spawned],"Ваня Милота",easy,1,,,,,,,
[Not Spawned],"Степан Абуза",normal,1,,,,,,,
[Not Spawned],"Кот Викинг",normal,1,,,,,,,
[Not Spawned],"Филипп Дудис",normal,1,,,,,,,
[Not Spawned],"Рауль Шугаринг",normal,1,,,,,,,
[Not Spawned],"Гиви Суперспецназ",normal,1,,,,,,,
[Not Spawned],"Деня Зверь",normal,1,,,,,,,
[Not Spawned],"Анатолий Сепультура",hard,1,,,,,,,
[Not Spawned],"Мэн Пичот",normal,1,,,,,,,
[Not Spawned],"Артур Бутовский",easy,1,,,,,,,
[Not Spawned],"Даня Борзый",hard,1,,,,,,,
[Not Spawned],"Кэл Козий-сыр",normal,1,,,,,,,
[Not Spawned],"Яша Вертолёт",normal,1,,,,,,,
[Not Spawned],"Ваха Сынуля",easy,1,,,,,,,
[Not Spawned],"Стасик Буйный",normal,1,,,,,,,
