Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Background Check,"Item Bronze pocket watch on a chain",1,2,11,"(100.57, 1.17, -6.82)"
Delivery From the Past,"Item Secure Folder 0022",1,5,17,"(-202.88, 7.07, -103.00)"
Bad Rep Evidence,"Item Secure Folder 0031",1,6,18,"(204.14, 3.87, 12.88)"
Shaking Up the Teller,"Zone room214",1,9,24,"(176.42, 2.87, 184.25)"
Shaking Up the Teller,"Item Bank case",1,9,24,"(178.18, 2.87, 149.54)"
Operation Aquarius - Part 1,"Zone room206_water",1,6,18,"(232.24, 2.92, 138.88)"
Pharmacist,"Zone vaz_feld",1,10,25,"(577.58, -0.53, -1.82)"
Pharmacist,"Zone room114",1,10,25,"(235.48, -0.05, 160.07)"
Pharmacist,"Item Carbon case",1,10,25,"(239.18, -0.08, 161.40)"
The Extortionist,"Zone dead_posylni",1,7,20,"(28.13, 1.24, -109.23)"
The Extortionist,"Zone vremyan_case",1,7,20,"(368.89, 1.32, -49.89)"
The Extortionist,"Item Secure Folder 0048",1,7,20,"(367.89, 1.32, -50.64)"
Golden Swag,"Zone extraction_zone_zibbo",2,8,22,"(-193.59, 1.54, -206.90)"
Golden Swag,"Item Golden Zibbo lighter",1,8,22,"(180.73, 5.87, 149.50)"
Chemical - Part 1,"Zone bomj_place",1,10,25,"(487.06, 5.68, -139.32)"
Chemical - Part 1,"Item Secure Folder 0013",1,10,25,"(487.64, 5.66, -138.67)"
Chemical - Part 2,"Item Sliderkey Secure Flash drive",1,10,25,"(193.46, 2.87, 170.85)"
Chemical - Part 2,"Item Sealed letter with a TG logo",1,10,25,"(194.78, 5.87, 173.13)"
Chemical - Part 4,"Zone gazel",1,11,27,"(481.67, 2.62, -76.20)"
Out of Curiosity,"Zone gazel",1,11,27,"(481.67, 2.62, -76.20)"
Big Customer,"Zone gazel",1,11,27,"(481.67, 2.62, -76.20)"
BP Depot,"Zone fuel1",1,5,17,"(431.38, 1.07, 17.33)"
BP Depot,"Zone fuel2",1,5,17,"(100.67, 1.17, -12.41)"
BP Depot,"Zone fuel3",1,5,17,"(336.15, 1.22, -191.23)"
BP Depot,"Zone fuel4",1,5,17,"(-333.90, 1.49, -157.83)"
Tigr Safari,"Zone place_peacemaker_002_N1",1,10,25,"(503.60, 0.12, -10.10)"
Tigr Safari,"Zone place_peacemaker_002_N2",1,10,25,"(564.74, 0.07, -25.63)"
Tigr Safari,"Zone place_peacemaker_002_N3",1,10,25,"(18.71, -0.78, -0.71)"
The Cult - Part 2,"Zone place_peacemaker_007_N1",1,18,41,"(184.14, 5.87, 183.42)"
Cargo X - Part 2,"Item Secure Folder 0013",1,12,29,"(487.64, 5.66, -138.67)"
Farming - Part 3,"Zone place_SADOVOD_03",1,14,33,"(-212.57, 1.12, -109.05)"
Farming - Part 3,"Item Package of graphics cards",1,14,33,"(-204.20, 7.07, -99.00)"
Informed Means Armed,"Zone place_skier_11_2",2,24,51,"(24.39, -0.62, 103.85)"
Chumming,"Zone place_skier_12_2",2,24,51,"(170.83, 5.87, 172.39)"
Bullshit,"Zone Q019_3",2,25,53,"(180.98, 5.87, 161.00)"
Bullshit,"Item Flash drive with fake info",1,25,53,"(-94.16, 0.42, 5.01)"
The Huntsman Path - Evil Watchman,"Zone huntsman_020",1,2,11,"(182.03, 2.87, 158.36)"
Capturing Outposts,"Zone prapor_27_1",1,42,82,"(195.50, 6.69, -138.62)"
The Courier,"Zone mech_41_1",2,52,92,"(170.24, 1.33, -104.73)"
The Courier,"Zone mech_41_2",2,52,92,"(424.42, 2.37, 25.79)"
Easy Money - Part 1,"Zone place_flyers1",2,3,13,"(203.31, 1.77, -117.19)"
Thirsty - Delivery,"Zone place_2A2_unlock_3_customs",2,15,35,"(12.73, -0.88, 36.04)"
Secrets of Polikhim,"Item Case with precision tools",1,12,29,"(76.80, 4.72, -152.30)"
Every Hunter Knows This,"Zone Check_mine_zone_custom",1,2,11,"(171.26, 0.77, 159.45)"
Is This a Reference?,"Zone zone_vedro",2,25,53,"(568.94, 6.72, -58.00)"
Is This a Reference?,"Zone zone_battlefield",2,25,53,"(568.47, 6.77, -80.72)"
Is This a Reference?,"Zone zone_unity",2,25,53,"(172.90, 2.87, 182.20)"
Radical Treatment,"Zone Halloween_zone_for_antivirus(bigmap)",2,2,11,"(-94.80, -11.73, -9.10)"
Hot Wheels,"Zone Wrong_wheels",2,20,45,"(377.70, 0.62, 21.50)"
The Price of Independence,"Item Incriminating letter",1,20,45,"(265.15, 12.67, -77.00)"
The Price of Independence,"Item Incriminating letter",1,20,45,"(265.15, 12.67, -77.00)"
Hide in Plain Sight,"Zone new_year_2024_market_customs",1,0,99,"(9.45, -0.92, 90.13)"
Illegal Logging,"Zone kill_in_forest_customs",1,2,11,"(115.28, -2.91, 186.83)"
Abandoned Cargo,"Zone TerragroupBOX_2",1,17,39,"(-183.21, 0.96, -132.60)"
Abandoned Cargo,"Zone TerragroupBOX_4",1,17,39,"(114.60, 1.32, -39.12)"
Abandoned Cargo,"Zone TerragroupBOX_3",1,17,39,"(61.04, 4.47, -66.25)"
Abandoned Cargo,"Zone TerragroupBOX_5",1,17,39,"(102.20, 1.32, -65.72)"
Abandoned Cargo,"Zone TerragroupBOX_1",1,17,39,"(148.72, 1.27, -66.85)"
Abandoned Cargo,"Zone TerragroupBOX_6",1,17,39,"(65.70, 9.22, -61.10)"
