Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"TheRedCap",normal,7,Failed,"Gate 2","Gate 2: Objective #1","1","19:12:55","19:15:15",
Bot4,"TechHappy",easy,17,Failed,"Forklift Certified","Zone nf2024_2_1","1","19:12:56","19:14:32",
Bot5,"ClaudioIonck",easy,17,Failed,"Delivery From the Past","Zone case_extraction","1","19:12:56","19:15:56",
Bot6,"egbog",normal,17,Pending,"Forklift Certified","Zone nf2024_2_3","1","19:12:56","N/A",
Bot8,"RainbowPC",easy,10,Failed,"Bad Rep Evidence","Zone locked_office","1","19:12:57","19:14:31",
Bot7,"DewardianDev",normal,13,Failed,"Forklift Certified","Zone nf2024_2_5","1","19:12:57","19:16:00",
Bot11,"Леоня Скворец",easy,1,Failed,"1st Floor Office","1st Floor Office: Objective #3","1","19:15:18","19:21:30",
Bot12,"Семён Беленький",easy,1,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","19:15:18","N/A",
Bot13,"Микола Передряга",easy,1,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","19:15:19","19:17:18",
Bot14,"Родион Огнестрел",easy,1,Failed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","19:15:24","19:25:10",
Bot15,"Кирюха Сега",normal,1,Failed,"Basement Intersection Camping","Basement Intersection Camping: Objective #1","1","19:17:43","19:19:08",
Bot20,"Петр Питерский",hard,1,Active,"Customs Transit Jackets","Customs Transit Jackets: Objective #1","1","19:19:45","N/A",
Bot21,"Колька Руки-лопаты",easy,1,Completed,"Motor Spawn Crate","Motor Spawn Crate: Objective #1","1","19:20:16","19:23:40",
Bot21,"Колька Руки-лопаты",easy,1,Active,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","19:23:45","N/A",
Bot23,"Гарик Минералка",easy,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","19:22:37","19:23:20",
Bot23,"Гарик Минералка",easy,1,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","19:23:25","N/A",
Bot24,"Кабан Седой",normal,1,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","19:23:28","19:25:23",
Bot25,"Генка Минский",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","19:25:19","19:25:51",
Bot25,"Генка Минский",easy,1,Active,"Outside Sniping","Outside Sniping: Objective #1","1","19:25:56","N/A",
Bot26,"Протасий Свинец",easy,1,Active,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","19:25:29","N/A",
[Not Spawned],"Христофор Ошибка",normal,1,,,,,,,
