Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Delivery From the Past,"Zone case_extraction",2,5,17,"(42.19, 4.39, 40.55)"
Bad Rep Evidence,"Zone locked_office",1,6,18,"(28.75, 8.33, 38.89)"
Postman Pat - Part 1,"Item Sealed letter",1,10,25,"(-19.96, 0.05, 21.94)"
Chemical - Part 3,"Item Syringe with a chemical",1,11,27,"(26.13, 8.55, 36.00)"
Farming - Part 1,"Zone place_SADOVOD_01_1",2,12,29,"(68.10, 0.15, -6.40)"
Farming - Part 1,"Zone place_SADOVOD_01_2",2,12,29,"(60.00, 0.20, -49.14)"
Scout,"Zone place_pacemaker_SCOUT_01",1,12,29,"(65.87, -2.61, -28.53)"
Scout,"Zone place_pacemaker_SCOUT_02",1,12,29,"(-52.34, 1.33, 58.83)"
Scout,"Zone place_pacemaker_SCOUT_03",1,12,29,"(59.70, 0.25, 56.98)"
Scout,"Zone place_pacemaker_SCOUT_04",1,12,29,"(-18.40, 0.35, -49.02)"
The Huntsman Path - Secured Perimeter,"Zone huntsman_013",1,2,11,"(22.80, 4.55, 41.73)"
Viewer,"Zone NosQuests_8_factory_place",2,27,56,"(36.00, 8.15, 36.13)"
Proper Comeback,"Zone NosQuests_11_factory_place",2,27,56,"(34.79, 8.10, 35.50)"
One Less Loose End,"Item Lab journal",1,15,35,"(29.60, 3.60, -17.56)"
Forklift Certified,"Zone nf2024_2_1",1,12,29,"(62.70, 0.30, 21.50)"
Forklift Certified,"Zone nf2024_2_2",1,12,29,"(73.60, 0.14, -37.24)"
Forklift Certified,"Zone nf2024_2_3",1,12,29,"(64.97, 0.09, -50.63)"
Forklift Certified,"Zone nf2024_2_4",1,12,29,"(-30.35, 1.41, 58.72)"
Forklift Certified,"Zone nf2024_2_5",1,12,29,"(24.37, 0.11, -24.92)"
Forklift Certified,"Zone nf2024_2_6",1,12,29,"(23.98, 0.10, -29.63)"
Forklift Certified,"Zone nf2024_2_7",1,12,29,"(13.60, 0.40, 29.23)"
Forklift Certified,"Zone nf2024_2_8",1,12,29,"(-13.77, 1.09, 33.71)"
Forklift Certified,"Zone nf2024_2_9",1,12,29,"(12.40, 0.05, -28.98)"
Forklift Certified,"Zone nf2024_2_10",1,12,29,"(52.15, 0.05, -21.58)"
Forklift Certified,"Zone nf2024_2_11",1,12,29,"(17.00, 0.10, -15.22)"
Forklift Certified,"Zone nf2024_2_12",1,12,29,"(57.38, 0.25, 60.22)"
Claustrophobia,"Zone nf2024_4_zone_kill1",1,2,11,"(8.01, -0.75, 43.20)"
Possessor,"Item Pilot logbook",1,10,25,"(26.30, 7.32, -2.58)"
Black Swan,"Zone nf2024_6_beacon_1",1,12,29,"(-18.00, -2.54, 35.60)"
Black Swan,"Zone nf2024_6_beacon_2",1,12,29,"(34.90, -2.65, -5.00)"
Black Swan,"Zone nf2024_6_beacon_3",1,12,29,"(44.60, -2.65, -35.40)"
The Walls Have Eyes,"Zone nf2024_7_1",2,12,29,"(62.90, 5.25, 35.40)"
The Walls Have Eyes,"Zone nf2024_7_2",2,12,29,"(-5.98, 4.90, -33.48)"
The Walls Have Eyes,"Zone nf2024_7_3",2,12,29,"(-24.09, 5.29, 59.52)"
All Is Revealed,"Item Chemical sample",1,12,29,"(-4.82, -2.60, 18.62)"
Dragnet,"Item Chemical container",1,15,35,"(-22.70, -2.65, 45.00)"
Capacity Check,"Zone nf2024_10_1",2,12,29,"(18.20, 3.75, 7.20)"
Capacity Check,"Zone nf2024_10_2",2,12,29,"(7.90, 3.78, 6.08)"
Capacity Check,"Zone nf2024_10_3",2,12,29,"(-3.90, 3.75, 7.20)"
Health Care Privacy - Part 6,"Item Blood sample",1,20,45,"(-19.47, 0.28, -52.23)"
Secrets of Polikhim,"Zone Place_accurate_tools",2,12,29,"(28.13, 0.15, -34.37)"
Every Hunter Knows This,"Zone Check_mine_zone_factory",1,2,11,"(24.29, 8.12, 38.74)"
Is This a Reference?,"Zone zone_451",2,25,53,"(16.80, 1.35, 42.00)"
Is This a Reference?,"Zone zone_half-life",2,25,53,"(21.00, -2.65, 12.80)"
Is This a Reference?,"Zone zone_terminator",2,25,53,"(-47.66, 1.15, 61.08)"
Is This a Reference?,"Zone zone_Always_sunny",2,25,53,"(27.80, 8.10, 38.63)"
Is This a Reference?,"Zone zone_harry_potter",2,25,53,"(52.18, 0.19, -17.10)"
Is This a Reference?,"Zone zone_sapper",2,25,53,"(30.39, 3.60, -31.00)"
Is This a Reference?,"Zone zone_stairway",2,25,53,"(60.20, 0.25, 50.45)"
Radical Treatment,"Zone Halloween_zone_for_antivirus(factory)",2,2,11,"(-26.93, -4.62, -27.95)"
Spawn Point Wander,"Spawn Point (-45.40 0.29 5.58)",1,0,99,"(-45.40, 0.29, 5.58)"
Spawn Point Wander,"Spawn Point (13.78 -2.29 -21.65)",1,0,99,"(13.78, -2.29, -21.65)"
Spawn Point Wander,"Spawn Point (11.22 0.04 -42.11)",1,0,99,"(11.22, 0.04, -42.11)"
Spawn Point Wander,"Spawn Point (42.43 -2.64 -8.31)",1,0,99,"(42.43, -2.64, -8.31)"
Spawn Point Wander,"Spawn Point (56.86 0.26 52.57)",1,0,99,"(56.86, 0.26, 52.57)"
Spawn Point Wander,"Spawn Point (-43.81 0.29 6.74)",1,0,99,"(-43.81, 0.29, 6.74)"
Spawn Point Wander,"Spawn Point (12.60 0.04 -42.52)",1,0,99,"(12.60, 0.04, -42.52)"
Spawn Point Wander,"Spawn Point (58.18 0.26 51.28)",1,0,99,"(58.18, 0.26, 51.28)"
Spawn Point Wander,"Spawn Point (15.70 4.57 38.98)",1,0,99,"(15.70, 4.57, 38.98)"
Spawn Point Wander,"Spawn Point (-46.69 0.29 8.39)",1,0,99,"(-46.69, 0.29, 8.39)"
Spawn Point Wander,"Spawn Point (70.76 0.31 -72.80)",1,0,99,"(70.76, 0.31, -72.80)"
Spawn Point Wander,"Spawn Point (-20.76 0.17 22.77)",1,0,99,"(-20.76, 0.17, 22.77)"
Spawn Point Wander,"Spawn Point (31.62 0.12 18.28)",1,0,99,"(31.62, 0.12, 18.28)"
Spawn Point Wander,"Spawn Point (32.27 0.06 -34.01)",1,0,99,"(32.27, 0.06, -34.01)"
Spawn Point Wander,"Spawn Point (57.94 0.26 49.65)",1,0,99,"(57.94, 0.26, 49.65)"
Spawn Point Wander,"Spawn Point (-19.19 -3.78 -4.91)",1,0,99,"(-19.19, -3.78, -4.91)"
Spawn Point Wander,"Spawn Point (-16.91 0.29 -39.43)",1,0,99,"(-16.91, 0.29, -39.43)"
Spawn Point Wander,"Spawn Point (-42.44 0.29 7.44)",1,0,99,"(-42.44, 0.29, 7.44)"
Spawn Point Wander,"Spawn Point (27.78 0.12 20.57)",1,0,99,"(27.78, 0.12, 20.57)"
Spawn Point Wander,"Spawn Point (71.73 0.31 -71.41)",1,0,99,"(71.73, 0.31, -71.41)"
Spawn Point Wander,"Spawn Point (-16.98 0.27 -41.33)",1,0,99,"(-16.98, 0.27, -41.33)"
Spawn Point Wander,"Spawn Point (14.64 4.57 39.74)",1,0,99,"(14.64, 4.57, 39.74)"
Spawn Point Wander,"Spawn Point (-22.17 2.73 23.77)",1,0,99,"(-22.17, 2.73, 23.77)"
Spawn Point Wander,"Spawn Point (-3.29 -3.86 -17.51)",1,0,99,"(-3.29, -3.86, -17.51)"
Spawn Point Wander,"Spawn Point (12.63 1.80 60.15)",1,0,99,"(12.63, 1.80, 60.15)"
Spawn Point Wander,"Spawn Point (-16.79 0.31 -37.43)",1,0,99,"(-16.79, 0.31, -37.43)"
Spawn Point Wander,"Spawn Point (7.90 0.04 -44.61)",1,0,99,"(7.90, 0.04, -44.61)"
Spawn Point Wander,"Spawn Point (-44.19 1.19 48.43)",1,0,99,"(-44.19, 1.19, 48.43)"
Spawn Point Wander,"Spawn Point (-17.69 0.29 -43.16)",1,0,99,"(-17.69, 0.29, -43.16)"
Spawn Point Wander,"Spawn Point (-42.62 1.28 48.35)",1,0,99,"(-42.62, 1.28, 48.35)"
Spawn Point Wander,"Spawn Point (35.55 8.23 36.41)",1,0,99,"(35.55, 8.23, 36.41)"
Spawn Point Wander,"Spawn Point (-46.27 0.29 7.05)",1,0,99,"(-46.27, 0.29, 7.05)"
Spawn Point Wander,"Spawn Point (-5.92 -3.86 -14.18)",1,0,99,"(-5.92, -3.86, -14.18)"
Spawn Point Wander,"Spawn Point (-0.09 -3.86 -12.23)",1,0,99,"(-0.09, -3.86, -12.23)"
Spawn Point Wander,"Spawn Point (8.07 0.10 -8.61)",1,0,99,"(8.07, 0.10, -8.61)"
Spawn Point Wander,"Spawn Point (21.41 -2.67 -14.62)",1,0,99,"(21.41, -2.67, -14.62)"
Spawn Point Wander,"Spawn Point (69.99 0.31 -71.35)",1,0,99,"(69.99, 0.31, -71.35)"
Spawn Point Wander,"Spawn Point (4.73 0.01 -35.10)",1,0,99,"(4.73, 0.01, -35.10)"
Spawn Point Wander,"Spawn Point (59.52 -2.64 6.83)",1,0,99,"(59.52, -2.64, 6.83)"
Spawn Point Wander,"Spawn Point (9.99 0.04 -42.20)",1,0,99,"(9.99, 0.04, -42.20)"
Spawn Point Wander,"Spawn Point (10.23 1.14 58.76)",1,0,99,"(10.23, 1.14, 58.76)"
Spawn Point Wander,"Spawn Point (20.20 -2.67 -16.38)",1,0,99,"(20.20, -2.67, -16.38)"
Spawn Point Wander,"Spawn Point (-2.81 -2.60 18.48)",1,0,99,"(-2.81, -2.60, 18.48)"
Spawn Point Wander,"Spawn Point (2.36 -2.64 49.42)",1,0,99,"(2.36, -2.64, 49.42)"
Spawn Point Wander,"Spawn Point (41.09 -2.64 -9.55)",1,0,99,"(41.09, -2.64, -9.55)"
Spawn Point Wander,"Spawn Point (32.23 0.06 -31.64)",1,0,99,"(32.23, 0.06, -31.64)"
Spawn Point Wander,"Spawn Point (32.67 0.06 -35.46)",1,0,99,"(32.67, 0.06, -35.46)"
Spawn Point Wander,"Spawn Point (-4.30 -2.60 14.32)",1,0,99,"(-4.30, -2.60, 14.32)"
