Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
TerraGroup Employee,"Zone peace_027_area",1,23,50,"(-132.70, 4.13, -336.87)"
TerraGroup Employee,"Item Flash drive marked with blue tape",1,23,50,"(-133.01, 4.13, -335.90)"
Following the Bread Crumbs,"Zone quest_zone_keeper7_saferoom",1,33,66,"(-182.87, 0.38, -312.88)"
Following the Bread Crumbs,"Zone quest_zone_keeper7_test",1,33,66,"(-131.68, 0.80, -357.87)"
Following the Bread Crumbs,"Item Secured tape",1,33,66,"(-169.12, 5.18, -342.30)"
Quality Standard,"Item LEDX Skin Transilluminator (US Version)",1,27,56,"(-173.23, 0.38, -374.80)"
Beneath The Streets,"Zone Server_room",1,12,29,"(-136.69, 4.13, -310.49)"
Beneath The Streets,"Zone Dome",1,12,29,"(-173.69, 0.47, -368.60)"
Beneath The Streets,"Zone Control_room",1,12,29,"(-171.84, 4.28, -283.12)"
Beneath The Streets,"Zone Transits_streets",1,12,29,"(-169.96, 0.03, -419.24)"
Don’t Believe Your Eyes,"Zone Halloween_lab_section1",1,2,11,"(-109.57, 0.13, -428.63)"
Don’t Believe Your Eyes,"Zone Halloween_lab_section2",1,2,11,"(-104.80, 0.11, -434.92)"
Dirty Blood,"Item Infected blood sample",1,2,11,"(-91.20, 0.26, -444.10)"
The Root Cause,"Item TG-Vi-24 sample",1,2,11,"(-110.30, 0.08, -440.70)"
Find the Source,"Zone Halloween_closed_places",1,2,11,"(-117.60, 0.08, -443.30)"
Find the Source,"Item V.O. signed diary",1,2,11,"(-117.40, 0.08, -442.80)"
Sample IV - A New Hope,"Item Vaccine sample IV",1,2,11,"(-120.69, 0.60, -442.80)"
Radical Treatment,"Zone Halloween_zone_for_antivirus(lab)",2,2,11,"(-192.20, -6.22, -280.54)"
Spawn Point Wander,"Spawn Point (-118.34 -4.03 -403.07)",1,0,99,"(-118.34, -4.03, -403.07)"
Spawn Point Wander,"Spawn Point (-279.05 0.06 -338.94)",1,0,99,"(-279.05, 0.06, -338.94)"
Spawn Point Wander,"Spawn Point (-115.37 -4.02 -321.76)",1,0,99,"(-115.37, -4.02, -321.76)"
Spawn Point Wander,"Spawn Point (-116.55 0.01 -253.94)",1,0,99,"(-116.55, 0.01, -253.94)"
Spawn Point Wander,"Spawn Point (-276.03 -3.99 -358.44)",1,0,99,"(-276.03, -3.99, -358.44)"
Spawn Point Wander,"Spawn Point (-120.64 0.01 -256.73)",1,0,99,"(-120.64, 0.01, -256.73)"
Spawn Point Wander,"Spawn Point (-254.79 -4.03 -298.46)",1,0,99,"(-254.79, -4.03, -298.46)"
Spawn Point Wander,"Spawn Point (-279.23 0.08 -349.23)",1,0,99,"(-279.23, 0.08, -349.23)"
Spawn Point Wander,"Spawn Point (-275.92 -4.00 -355.32)",1,0,99,"(-275.92, -4.00, -355.32)"
