Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"uno0040",hard,22,Failed,"Blue Room","Blue Room: Objective #2","1","00:19:21","00:24:04",
Bot3,"MissingInAction",normal,19,Failed,"Beneath The Streets","Zone Server_room","1","00:19:21","00:30:49",
Bot4,"kwebber321",hard,17,Failed,"Boss Hunter (pmcBot)","Spawn Point (-183.65 2.71 -227.12)","1","00:19:21","00:25:08",
Bot2,"Dirtbikercj",normal,21,Failed,"Conference Room","Conference Room: Objective #4","1","00:19:21","00:22:20",
Bot7,"Basuro",normal,11,Failed,"Server Room Drop-Down Area","Server Room Drop-Down Area: Objective #1","1","00:19:21","00:27:34",
Bot5,"Vega",hard,8,Failed,"Don’t Believe Your Eyes","Zone Halloween_lab_section1","1","00:19:22","00:21:07",
Bot6,"Gizzy",normal,14,Failed,"Admin Office","Admin Office: Objective #3","1","00:19:22","00:22:49",
Bot8,"Digi",normal,15,Failed,"Boss Hunter (pmcBot)","Spawn Point (-213.12 0.05 -378.76)","1","00:19:22","00:19:45",
Bot15,"Дэнчик Макака",normal,1,Completed,"Security Office","Security Office: Objective #1","1","00:34:15","00:34:50",
Bot15,"Дэнчик Макака",normal,1,Active,"Conference Room","Conference Room: Objective #2","1","00:34:55","N/A",
Bot16,"Павел Перец",normal,1,Active,"Blue Room Entry","Blue Room Entry: Objective #1","1","00:35:16","N/A",
Bot17,"Коля Коряга",normal,1,Pending,"Negotiation Room","Negotiation Room: Objective #2","1","00:35:16","N/A",
Bot18,"Николай Полседьмого",normal,1,Active,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","00:35:27","N/A",
Bot19,"Марк Ошибка",normal,1,Pending,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","00:35:27","N/A",
Bot20,"Стёпа Легаш",normal,1,Pending,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","00:35:28","N/A",
[Not Spawned],"Валёк Шайтан",normal,1,,,,,,,
[Not Spawned],"Герчик Слон",easy,1,,,,,,,
[Not Spawned],"Деня Городской",normal,1,,,,,,,
[Not Spawned],"Петро Макака",normal,1,,,,,,,
[Not Spawned],"Ильнур Лаванда",normal,1,,,,,,,
[Not Spawned],"Захар Никулин",normal,1,,,,,,,
[Not Spawned],"Нойс Динамит",normal,1,,,,,,,
[Not Spawned],"Саня Бетон",normal,1,,,,,,,
[Not Spawned],"Феоктист Прикол",normal,1,,,,,,,
